严重性	代码	说明	项目	文件	行	抑制状态
消息(活动)	IDE0060	请避免在代码中使用未使用的参数。如果无法删除该参数，请更改其名称，使其以下划线开头，也可在下划线后面跟一个整数(如 "_"、"_1"、"_2" 等)。这些被视为特殊丢弃符号名。	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	290	
消息(活动)	IDE0062	可以使本地函数成为静态函数	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	105	
消息(活动)	IDE0018	可以内联变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	329	
消息(活动)	IDE0018	可以内联变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	341	
消息(活动)	IDE0018	可以内联变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	362	
消息(活动)	IDE0018	可以内联变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelPages.cs	162	
消息(活动)	IDE0018	可以内联变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	307	
消息(活动)	IDE0018	可以内联变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	309	
消息(活动)	IDE0018	可以内联变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	182	
消息(活动)	IDE0018	可以内联变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	330	
消息(活动)	IDE0018	可以内联变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	331	
