严重性	代码	说明	项目	文件	行	抑制状态
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\SettingsPanel\SettingsPanelProvider.cs	62	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\SettingsPanel\UiSettingsPageBuilder.cs	12	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Layout\ItemsControl.cs	10	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\ContentPresenter.cs	14	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\ContentPresenter.cs	65	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\ContentPresenter.cs	77	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\ContentPresenter.cs	113	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\ContentPresenter.cs	181	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	116	
消息(活动)	IDE0306	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	116	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	116	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	117	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	121	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	121	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	126	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	126	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	148	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	153	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	158	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	162	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	208	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	209	
消息(活动)	IDE0300	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\PublicApi.cs	36	
消息(活动)	IDE0301	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Settings\SettingsApplyService.cs	38	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\Adapters\JsonFileDataSet.cs	16	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\Adapters\JsonFileDataSet.cs	20	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	17	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	45	
消息(活动)	IDE0028	可以简化集合初始化	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	216	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardBindingRegistry.cs	12	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardBindingRegistry.cs	13	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardBindingRegistry.cs	14	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\MarkdownParser.cs	9	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\MarkdownParser.cs	10	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\MarkdownParser.cs	11	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\CoreShell\ProviderManagerPage.cs	11	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\CoreShell\ProviderManagerPage.cs	13	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\CoreShell\ProviderManagerPage.cs	14	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\CoreShell\ProviderManagerPage.cs	15	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\CoreShell\ProviderManagerPage.cs	16	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitDetailRegistry.cs	23	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	16	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	17	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	18	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	19	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	20	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	21	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	22	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	17	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	18	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	19	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	16	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	17	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	18	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	82	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	83	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	84	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	85	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	94	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	96	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	97	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	98	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	105	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	107	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	108	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	109	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	116	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	118	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	242	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Layout\ItemsControl.cs	10	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\ContentPresenter.cs	14	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Settings\SettingsApplyRegistry.cs	13	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Settings\SettingsPersistence.cs	12	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Settings\SettingsStore.cs	12	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Settings\SettingsStore.cs	77	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Settings\SettingsStore.cs	78	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Settings\SettingsStore.cs	79	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Settings\SettingsStore.cs	80	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Settings\SettingsStore.cs	81	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\Adapters\JsonFileDataSet.cs	16	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	17	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	45	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Theme\ThemeColors.cs	7	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Theme\ThemeColors.cs	8	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Theme\ThemeColors.cs	9	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Theme\ThemeColors.cs	10	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Theme\ThemeColors.cs	11	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Theme\ThemeColors.cs	12	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Theme\ThemeColors.cs	13	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Theme\ThemeColors.cs	14	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Theme\ThemeColors.cs	15	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Theme\ThemeColors.cs	16	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Theme\ThemeColors.cs	19	
消息(活动)	IDE0090	可简化 "new" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Theme\ThemeColors.cs	20	
消息(活动)	IDE1006	命名规则冲突: 前缀“_”不是预期的	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	33	
消息(活动)	IDE1006	命名规则冲突: 前缀“_”不是预期的	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\SlotsTable.cs	29	
消息(活动)	IDE1006	命名规则冲突: 前缀“_”不是预期的	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	29	
消息(活动)	IDE1006	命名规则冲突: 前缀“_”不是预期的	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	128	
消息(活动)	IDE1006	命名规则冲突: 前缀“_”不是预期的	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	282	
消息(活动)	IDE1006	命名规则冲突: 前缀“_”不是预期的	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	307	
消息(活动)	IDE1006	命名规则冲突: 前缀“_”不是预期的	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	332	
消息(活动)	IDE0044	将字段设置为只读	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\CoreShell\ProviderManagerPage.cs	80	
消息(活动)	IDE0044	将字段设置为只读	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	295	
消息(活动)	IDE0044	将字段设置为只读	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	320	
消息(活动)	IDE0044	将字段设置为只读	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	345	
